Node_1,Node_2
1,0
4,2
6,5
7,5
9,8
13,12
14,12
16,15
18,17
19,12
22,20
24,23
25,23
26,23
27,23
28,23
30,23
31,23
32,23
33,23
34,23
35,23
36,23
37,23
38,23
39,23
40,23
42,41
44,43
46,45
48,47
50,49
51,41
53,52
55,54
56,54
57,54
58,54
59,54
54,54
63,62
65,64
4,62
67,66
69,68
41,42
71,70
21,72
74,73
76,75
48,75
78,77
79,77
81,80
62,19
83,82
21,22
84,82
72,21
85,41
86,41
87,41
86,82
89,88
91,90
20,92
93,41
94,41
96,89
88,89
98,97
99,97
100,97
101,97
102,97
104,103
41,51
105,82
106,90
107,62
66,108
110,108
111,108
112,108
114,113
118,117
119,76
120,17
121,82
123,122
12,14
125,124
128,127
129,127
130,127
132,131
26,40
29,40
133,18
55,56
54,56
59,56
6,134
62,115
136,135
138,137
137,137
140,139
142,141
143,143
51,143
133,143
82,83
149,148
103,150
150,150
84,49
28,151
153,152
152,153
155,154
157,156
15,139
159,158
2,4
3,4
18,133
161,160
162,84
50,84
49,84
71,84
163,72
139,164
166,165
168,167
122,123
115,169
171,40
103,123
172,123
61,123
123,123
96,24
80,81
21,173
175,174
177,176
178,176
179,122
130,180
182,181
183,129
184,184
52,185
186,70
187,106
175,137
174,137
189,188
157,191
191,191
193,192
194,192
195,192
2,192
192,192
196,41
197,41
198,41
199,41
201,41
202,41
203,41
204,41
205,41
206,41
207,41
208,208
123,61
210,209
128,41
54,211
189,106
208,137
115,212
58,56
25,30
36,30
41,30
213,155
47,48
24,96
62,4
215,155
15,216
170,170
217,71
50,71
49,71
97,98
1,74
218,74
219,74
215,74
220,74
221,74
222,74
223,74
18,74
224,74
225,74
226,74
227,74
17,74
228,74
64,229
97,100
21,230
20,230
232,231
209,233
234,233
235,233
236,233
159,233
237,233
210,233
239,233
240,233
241,233
242,233
115,245
247,246
74,248
238,13
249,106
27,13
209,13
250,103
251,40
252,175
251,169
169,115
231,232
253,75
40,75
174,175
137,254
212,249
255,249
256,249
74,222
218,17
198,183
258,183
183,183
12,19
72,259
260,259
261,75
170,115
169,251
262,262
263,263
265,264
266,264
267,264
268,106
270,129
272,271
256,81
139,46
15,46
273,46
272,46
164,46
216,46
45,46
276,275
277,277
114,155
278,129
101,101
40,29
107,279
208,155
280,231
284,155
46,46
28,160
23,160
286,285
211,285
183,258
287,69
231,280
249,212
288,162
71,162
84,162
289,280
196,280
168,280
167,280
290,280
14,280
291,280
284,280
129,280
130,280
292,280
19,293
226,254
294,129
106,189
296,295
115,165
69,287
80,287
248,74
297,74
73,74
299,298
137,281
62,147
249,147
300,62
248,301
303,302
302,303
303,304
233,252
166,252
121,252
145,252
115,252
115,136
22,92
304,303
106,268
212,252
288,252
58,252
175,252
305,252
48,252
293,12
62,306
2,281
209,236
235,236
243,236
244,236
15,175
5,6
307,17
308,17
1,17
177,17
74,17
309,17
215,17
248,17
220,17
310,17
85,17
311,17
221,17
312,17
313,17
223,17
0,17
224,17
314,17
225,17
315,17
226,17
73,17
316,17
317,17
228,17
318,245
62,35
319,236
167,167
201,167
18,167
321,320
62,254
45,322
177,220
295,215
320,321
323,102
300,102
212,147
42,147
105,147
324,11
173,21
325,21
10,21
20,21
306,21
326,21
327,21
230,21
329,328
229,64
5,215
236,209
62,18
330,73
248,73
331,73
297,73
290,290
332,141
306,69
46,139
114,333
335,334
337,336
116,336
165,336
115,336
136,336
338,336
169,336
251,336
135,336
339,336
134,340
336,251
74,341
309,341
215,341
311,341
222,341
316,341
342,191
277,191
149,191
262,191
343,191
344,191
345,191
346,191
214,191
347,191
349,191
350,191
284,191
351,191
231,191
278,191
130,191
178,191
122,191
179,191
352,191
207,191
354,353
185,353
13,90
155,114
355,142
357,356
113,114
339,47
195,194
358,43
63,63
360,359
128,86
5,64
187,160
361,114
103,232
236,244
190,160
212,69
334,335
129,114
271,243
190,184
69,212
18,62
362,44
293,44
243,271
62,310
105,252
62,153
283,363
161,363
280,363
256,363
211,363
364,363
106,363
236,363
365,363
249,363
263,114
318,114
87,145
252,145
114,263
28,39
252,105
28,165
114,165
367,165
37,37
185,52
