Node_1,Node_2,Link,C_Neighbour,P_Attachment,Jaccard_Index,Adamic_Adar,R_Allocation,Salton_Cosine,Sorensen_Index,Promoted_Index,Depressed_Index,LHN_Index
1,600,0,0,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,310,0,0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,306,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,309,0,0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,932,0,0,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2190,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2067,0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1530,0,0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1820,0,0,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1877,0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1162,0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,560,0,0,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,561,0,0,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,754,0,0,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,151,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,337,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,338,0,0,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,160,0,0,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,881,0,0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,1,0,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,311,0,0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,304,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,114,1,6,675,0.1111111111111111,1.9826839388581936,0.2981900300641751,0.2309401076758503,0.1,0.4,0.13333333333333333,0.008888888888888889
10,579,1,7,2475,0.07526881720430108,1.7362568327399919,0.1286955904033369,0.14070529413628968,0.07,0.15555555555555556,0.12727272727272726,0.0028282828282828283
10,104,1,6,1890,0.07407407407407407,1.497642030795744,0.1111541041118506,0.13801311186847084,0.06896551724137931,0.14285714285714285,0.13333333333333333,0.0031746031746031746
10,973,1,9,1215,0.14285714285714285,2.0362091890850342,0.11876674402341199,0.25819888974716115,0.125,0.3333333333333333,0.2,0.007407407407407408
10,1064,1,4,225,0.08695652173913042,0.9571372239672928,0.06170355466130114,0.26666666666666666,0.08,0.8,0.08888888888888889,0.017777777777777778
10,25,1,8,1395,0.1176470588235294,2.0134856883598387,0.2033627036193716,0.2141918210406664,0.10526315789473684,0.25806451612903225,0.17777777777777778,0.005734767025089606
10,23,1,9,4410,0.06716417910447761,2.1227890561293083,0.14032961373326666,0.1355261854357877,0.06293706293706294,0.2,0.09183673469387756,0.0020408163265306124
10,776,1,6,720,0.10909090909090907,1.3472238513534864,0.07679628757927136,0.22360679774997896,0.09836065573770493,0.375,0.13333333333333333,0.008333333333333333
10,988,1,7,2340,0.07777777777777778,1.5626971690545122,0.0849284136691439,0.14470719035407653,0.07216494845360824,0.15555555555555556,0.1346153846153846,0.0029914529914529917
10,122,1,6,1440,0.08450704225352113,1.6609627507064255,0.1848071082709132,0.15811388300841894,0.07792207792207792,0.1875,0.13333333333333333,0.004166666666666667
100,514,0,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2263,0,0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1410,0,0,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1862,0,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2321,0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2320,0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2319,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,516,0,1,144,0.043478260869565216,0.2316161558997168,0.013333333333333334,0.08333333333333333,0.04166666666666666,0.08333333333333333,0.08333333333333333,0.006944444444444444
100,117,1,5,924,0.05952380952380953,1.4713852995823362,0.1961390194714393,0.16448792373994225,0.05617977528089888,0.4166666666666667,0.06493506493506493,0.005411255411255411
1001,1322,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,1023,1,2,112,0.1,0.7863017644931014,0.1575757575757576,0.1889822365046136,0.09090909090909093,0.25,0.14285714285714285,0.017857142857142856
1002,993,0,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,1160,0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005,1004,0,1,8,0.125,0.29120667621996243,0.03225806451612903,0.3535533905932737,0.1111111111111111,1.0,0.125,0.125
1007,1240,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,826,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,1825,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,1285,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,1242,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,985,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,1744,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,1921,0,0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,985,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,826,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,1744,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,1242,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,1285,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,1240,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,1921,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,1825,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,514,0,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1479,1,3,156,0.13636363636363635,0.9358132962685336,0.14,0.2401922307076307,0.12,0.25,0.2307692307692308,0.019230769230769232
101,2263,0,0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1410,0,0,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,316,1,4,533,0.08,1.0805181210423045,0.11932100725887905,0.173259232729684,0.07407407407407407,0.3076923076923077,0.0975609756097561,0.0075046904315197
101,1862,0,0,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2319,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2320,0,0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,516,0,1,156,0.04166666666666666,0.2316161558997168,0.013333333333333334,0.08006407690254358,0.04,0.08333333333333333,0.07692307692307693,0.00641025641025641
101,2321,0,0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011,1643,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1012,1006,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,787,0,0,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,1226,0,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,736,0,0,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014,1540,1,3,108,0.14285714285714285,1.4890283659183587,0.41528153588455097,0.2886751345948129,0.125,0.5,0.16666666666666666,0.027777777777777776
1014,1549,1,4,198,0.16,1.7408990146700585,0.4341494604128529,0.2842676218074806,0.13793103448275862,0.3636363636363637,0.2222222222222222,0.020202020202020204
1014,2038,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,944,0,0,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1017,1266,1,5,264,0.1724137931034483,1.6657942513679294,0.2568421774304127,0.3077287274483318,0.14705882352941174,0.4166666666666667,0.2272727272727273,0.01893939393939394
1017,1358,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1017,1267,1,7,120,0.4666666666666667,2.320482115385376,0.35267551076374604,0.6390096504226938,0.3181818181818182,0.7,0.5833333333333334,0.058333333333333334
1017,1036,1,5,264,0.1724137931034483,1.7067234858858185,0.2709447415329768,0.3077287274483318,0.14705882352941174,0.4166666666666667,0.2272727272727273,0.01893939393939394
1017,1251,1,9,156,0.5625,2.8331346603367478,0.39311668723433424,0.7205766921228921,0.36,0.75,0.6923076923076923,0.057692307692307696
1018,661,0,0,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,644,1,3,3201,0.023622047244094488,0.7833196486999041,0.07843782404083911,0.05302472412302019,0.02307692307692308,0.09090909090909093,0.030927835051546393,0.0009372071227741331
102,347,1,29,8148,0.19078947368421054,8.294500640478423,1.001794110992697,0.32127171212126265,0.16022099447513813,0.34523809523809523,0.29896907216494845,0.003559155621011291
102,511,1,15,4947,0.11278195488721805,4.429717606329376,0.5765650374490564,0.21326535201462324,0.10135135135135136,0.29411764705882354,0.15463917525773194,0.0030321406913280777
102,934,1,5,1067,0.04854368932038835,1.673358476994107,0.2909448657511785,0.15306919373065675,0.04629629629629629,0.4545454545454545,0.05154639175257732,0.004686035613870665
102,523,1,1,3007,0.007874015748031496,0.2518706487516997,0.018867924528301886,0.01823615546505513,0.0078125,0.03225806451612903,0.010309278350515464,0.0003325573661456601
102,827,0,0,776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,717,0,1,3589,0.0075187969924812035,0.2181040551873126,0.010204081632653059,0.016692188131234503,0.00746268656716418,0.027027027027027032,0.010309278350515464,0.00027862914460852607
102,490,0,7,2134,0.0625,1.8825645645233264,0.20122220969215235,0.15153077082878666,0.05882352941176471,0.3181818181818182,0.07216494845360824,0.0032802249297094657
102,313,0,17,6790,0.11333333333333333,4.245426713979963,0.3262055247665032,0.20630703344076307,0.10179640718562874,0.24285714285714285,0.17525773195876287,0.0025036818851251843
102,492,1,13,6596,0.08552631578947369,3.1784646124550004,0.2241688417049978,0.16006745091280195,0.07878787878787878,0.19117647058823528,0.13402061855670105,0.0019708914493632504
102,120,0,2,485,0.02,0.4856504416063666,0.03401360544217687,0.09081532183729996,0.0196078431372549,0.4,0.020618556701030927,0.004123711340206186
102,489,0,1,388,0.01,0.2181040551873126,0.010204081632653059,0.05076730825668097,0.0099009900990099,0.25,0.010309278350515464,0.002577319587628866
102,1051,0,0,1261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1330,0,0,873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,207,0,0,679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,73,0,0,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,894,0,0,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,74,0,0,291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,496,1,10,5529,0.06944444444444445,2.336197178842053,0.14219442514411507,0.13448588493413854,0.06493506493506493,0.17543859649122806,0.10309278350515463,0.0018086453246518358
102,1142,1,8,1164,0.07920792079207921,2.2838402713677604,0.2718918562217512,0.2344841527042197,0.07339449541284404,0.6666666666666666,0.08247422680412371,0.006872852233676976
102,574,0,2,2619,0.016393442622950817,0.4585423438162292,0.025528455284552845,0.03908069211736994,0.016129032258064516,0.07407407407407407,0.020618556701030927,0.0007636502481863307
102,716,0,1,3104,0.0078125,0.2181040551873126,0.010204081632653059,0.017948953965443454,0.007751937984496123,0.03125,0.010309278350515464,0.00032216494845360824
1020,1110,1,10,300,0.4,3.694452844476898,0.6799981666080737,0.5773502691896257,0.2857142857142857,0.6666666666666666,0.5,0.03333333333333333
1020,1107,1,9,260,0.375,3.325183471408044,0.613331499941407,0.558156305651438,0.2727272727272727,0.6923076923076923,0.45,0.03461538461538462
1021,1720,0,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,1553,0,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,706,0,0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,1619,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025,1117,1,14,289,0.7,4.227262588492041,0.5538024557077204,0.8235294117647058,0.4117647058823529,0.8235294117647058,0.8235294117647058,0.04844290657439446
1025,1316,1,13,323,0.5652173913043478,3.96139000281719,0.530546641754232,0.7233393492970543,0.3611111111111111,0.7647058823529411,0.6842105263157895,0.04024767801857585
1026,974,0,0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1026,602,0,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1026,994,0,0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029,906,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2111,0,0,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,346,1,9,2352,0.10112359550561796,2.1882171027750994,0.17161951990250365,0.18557687223952246,0.09183673469387756,0.21428571428571427,0.16071428571428573,0.003826530612244898
103,65,0,0,3696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,66,0,1,3696,0.007751937984496123,0.2413631383092751,0.015873015873015872,0.016448792373994225,0.007692307692307694,0.023809523809523808,0.011363636363636364,0.00027056277056277056
103,1480,0,0,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,721,0,0,1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,720,0,1,1092,0.01492537313432836,0.2413631383092751,0.015873015873015872,0.030261376633440126,0.014705882352941175,0.038461538461538464,0.023809523809523808,0.0009157509157509158
103,921,0,0,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1487,0,0,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1486,0,0,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1891,0,0,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,463,0,2,168,0.045454545454545456,0.4143863388994848,0.017628739850962076,0.1543033499620919,0.043478260869565216,0.5,0.047619047619047616,0.011904761904761904
103,777,1,9,462,0.20454545454545456,2.578928916582917,0.30717848942573944,0.4187178946793119,0.16981132075471694,0.8181818181818182,0.21428571428571427,0.01948051948051948
103,468,0,0,882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,18,0,0,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,437,0,4,672,0.07407407407407407,1.0338894094562354,0.08371985157699444,0.1543033499620919,0.06896551724137931,0.25,0.09523809523809523,0.005952380952380952
