Node_1,Node_2,Link
1,112,1
1,92,1
1,311,1
1,410,1
1,851,1
10,445,0
10,439,0
10,436,0
10,432,0
10,306,0
10,296,0
10,262,0
10,261,0
10,205,0
10,161,0
10,148,0
10,494,0
10,135,0
10,133,0
10,87,0
10,78,0
10,57,0
10,20,0
10,154,1
10,570,1
10,151,0
10,500,0
10,152,0
10,528,0
10,934,0
10,943,0
10,501,0
10,684,0
10,916,0
10,876,0
10,825,0
10,824,0
10,818,0
10,815,0
10,761,0
10,869,0
10,746,0
10,568,0
10,591,0
10,594,0
10,610,0
10,595,0
10,725,0
10,728,0
10,738,0
10,640,0
10,930,0
100,605,0
100,757,1
100,650,0
100,449,0
100,148,0
100,523,0
100,561,0
100,575,0
100,162,0
100,578,0
100,659,0
100,238,0
100,423,0
100,416,0
100,317,0
100,296,0
100,294,0
100,286,0
100,276,0
100,261,0
100,231,0
100,228,0
100,205,0
100,204,0
100,165,0
100,699,0
100,658,0
100,693,0
100,508,0
100,917,0
100,425,0
100,901,0
100,833,0
100,827,0
100,777,0
100,113,0
100,107,0
100,104,0
100,772,0
100,743,0
100,912,0
100,720,0
100,723,0
100,705,0
100,560,0
100,814,0
100,683,0
100,712,0
100,932,0
100,703,0
100,837,1
100,441,0
100,704,0
100,686,0
100,934,0
101,331,1
101,339,1
101,838,1
101,151,1
101,309,1
101,246,1
101,824,1
101,116,0
101,262,0
101,270,0
101,350,0
101,611,0
101,882,0
101,731,0
101,800,0
101,783,0
102,403,0
102,405,0
102,842,1
102,205,0
102,418,0
102,104,0
102,424,0
102,439,0
102,454,0
102,547,0
102,335,1
102,112,0
102,360,0
102,199,0
102,164,0
102,162,0
102,152,0
102,147,0
102,238,0
102,240,0
102,248,0
102,250,0
102,261,0
102,266,0
102,313,0
102,315,0
102,329,0
102,135,0
102,133,0
102,343,0
102,350,0
102,359,0
102,215,0
102,236,0
102,567,0
102,799,0
102,812,0
102,822,0
102,829,0
102,843,0
102,853,0
102,525,0
102,864,0
102,866,0
102,867,0
102,873,0
102,875,0
102,876,0
102,883,0
102,888,0
102,933,0
102,938,0
102,826,0
102,537,0
102,960,0
102,224,0
102,932,0
102,859,0
102,588,0
102,805,0
102,529,0
102,961,0
102,771,0
102,501,0
102,587,0
102,480,0
102,594,0
102,599,0
102,614,0
102,630,0
102,652,0
102,788,0
102,519,0
102,662,0
102,670,0
102,688,0
102,691,0
102,699,0
102,703,0
102,706,0
102,730,0
102,731,0
102,735,0
102,756,0
102,572,0
102,383,1
103,126,1
103,196,1
103,767,1
103,175,0
103,745,0
103,887,0
103,811,0
103,474,1
103,139,0
103,946,0
103,563,1
103,159,1
103,812,1
103,871,1
103,833,0
103,686,1
103,535,0
103,209,0
103,414,0
103,254,0
103,378,0
103,339,0
103,505,1
103,726,0
103,341,0
104,596,0
104,751,1
104,583,0
104,578,0
104,575,0
104,574,0
104,572,0
104,595,0
104,553,0
104,620,0
104,602,0
104,610,0
104,619,0
104,624,0
104,625,0
104,630,0
104,646,0
104,650,0
104,652,0
104,657,0
104,658,0
104,659,0
104,664,0
104,679,0
104,599,0
104,591,0
104,828,0
104,697,0
104,929,0
104,936,0
104,938,0
104,951,0
104,957,0
104,826,0
104,949,0
104,925,0
104,800,1
104,928,0
104,910,0
104,741,0
104,736,0
104,560,0
104,814,0
104,776,0
104,817,0
104,881,0
104,551,0
104,527,1
104,922,0
104,693,0
104,926,0
104,909,0
104,699,0
104,700,0
104,703,0
104,704,0
104,708,0
104,712,0
104,713,0
104,720,0
104,740,0
104,918,0
104,753,0
104,788,0
104,795,0
104,818,0
104,825,0
104,827,0
104,845,0
104,853,0
104,892,0
104,906,0
104,768,0
104,539,0
104,563,0
104,480,0
104,332,0
104,326,0
104,325,0
104,316,0
104,315,0
104,306,0
104,305,0
104,294,0
104,288,0
104,287,0
104,538,0
104,286,0
104,268,0
104,266,0
104,258,0
104,257,0
104,239,0
104,238,0
104,161,0
104,233,0
104,231,0
104,211,0
104,279,0
104,179,1
104,534,0
104,626,1
104,398,0
104,374,0
104,357,0
104,405,0
104,407,0
104,411,0
104,413,0
104,434,0
104,441,0
104,443,0
104,528,0
104,449,0
104,348,0
104,501,0
104,502,0
104,504,0
104,508,0
104,512,0
104,162,0
104,517,0
104,524,0
104,525,0
104,466,0
104,197,0
104,205,0
104,393,0
104,156,0
104,146,0
104,137,0
104,129,0
104,127,0
104,113,0
104,160,0
104,163,0
104,192,0
104,170,0
104,174,0
104,189,0
104,107,0
105,767,0
105,774,0
105,775,0
105,793,0
105,874,0
105,893,0
105,960,0
105,956,0
105,705,0
105,216,1
105,837,0
105,803,0
105,739,1
105,619,0
105,126,0
105,159,0
105,179,0
105,180,0
105,209,0
105,227,0
105,242,0
105,334,0
105,194,0
105,426,0
105,421,0
105,540,0
105,535,0
105,597,0
105,463,0
105,460,0
105,469,0
105,639,0
106,150,0
106,217,0
106,223,0
106,155,0
106,230,0
106,157,0
106,173,0
106,202,0
106,587,0
106,277,0
106,667,1
106,238,0
106,946,0
106,843,0
106,830,0
106,781,0
106,762,0
106,740,0
106,716,0
106,659,0
106,643,0
106,637,0
106,528,0
106,193,0
106,404,0
106,464,0
106,293,0
106,191,0
106,332,0
106,333,0
106,290,0
106,367,0
106,376,0
106,382,0
106,386,0
106,348,0
107,761,0
107,648,1
107,325,1
107,551,0
107,951,0
107,892,0
107,779,0
107,374,1
107,697,0
107,658,0
107,657,0
107,624,0
107,468,0
107,268,0
107,205,0
107,193,0
107,113,0
107,683,0
108,903,1
108,151,1
108,921,0
108,923,0
108,869,0
108,696,0
108,909,0
108,650,0
108,187,0
108,266,0
108,329,0
108,662,0
108,308,0
108,368,0
108,379,0
108,633,0
108,645,0
109,327,0
109,332,0
109,467,0
109,568,0
109,599,0
109,629,0
109,691,0
109,924,0
109,152,0
109,594,0
11,370,1
11,378,0
11,386,0
11,822,1
11,772,0
11,785,0
11,802,0
11,853,0
11,418,0
11,854,0
11,882,0
11,771,0
11,413,0
11,940,0
11,948,0
11,946,0
11,776,0
11,346,0
11,834,0
11,573,0
11,916,0
11,730,0
11,718,0
11,716,0
11,424,0
11,461,0
11,421,0
11,477,0
11,480,0
11,495,0
11,537,0
11,566,0
11,582,0
11,586,0
11,593,0
11,620,0
11,640,0
11,646,0
11,674,0
11,686,0
11,697,0
11,376,0
11,371,0
11,731,0
11,338,0
11,99,0
11,86,0
11,82,0
11,398,0
11,74,0
11,73,0
11,65,0
11,115,0
11,55,0
11,20,0
11,17,0
11,952,1
11,353,0
11,532,1
11,712,1
11,119,1
11,31,0
11,133,0
11,435,0
11,150,0
11,312,0
11,277,0
11,267,0
11,316,0
11,248,0
11,246,0
11,230,0
11,223,0
11,410,0
11,207,0
11,155,0
11,215,0
11,163,0
11,173,0
11,161,0
11,185,0
11,199,0
110,826,0
110,849,0
110,549,1
110,842,0
110,777,0
110,764,0
110,759,0
110,755,0
110,643,0
110,115,1
110,640,0
110,581,0
110,537,0
110,293,0
110,157,0
110,775,1
110,550,0
110,192,0
110,243,0
110,353,0
110,371,0
110,281,0
110,421,0
110,479,0
110,488,0
110,492,0
110,515,0
110,522,0
110,418,0
111,589,0
111,505,0
111,550,0
111,559,0
111,711,0
111,377,0
111,805,0
111,895,0
111,952,0
111,810,0
111,844,0
111,767,0
111,548,0
111,175,0
111,324,0
111,295,1
111,116,0
111,139,0
111,142,0
111,149,0
111,341,0
111,176,0
111,153,0
111,206,0
111,254,0
111,269,0
111,271,0
111,286,0
111,314,0
111,181,0
112,569,0
112,754,1
112,828,0
112,697,0
112,614,0
112,536,0
112,441,0
112,422,0
112,298,0
112,286,0
112,231,0
112,201,0
112,454,0
112,161,0
113,683,0
113,708,0
113,714,0
113,779,0
113,585,1
113,951,0
113,892,0
113,826,0
113,531,1
113,922,0
113,876,0
113,286,1
113,827,0
113,658,0
113,131,0
113,618,1
113,659,0
113,205,0
113,226,0
113,266,0
113,268,0
113,140,0
113,296,0
113,303,0
113,415,0
113,644,0
113,609,0
113,580,0
113,294,0
114,539,0
114,598,0
114,605,0
114,617,0
114,631,0
114,645,0
114,693,0
114,703,0
114,704,0
114,725,0
114,930,0
114,746,0
114,752,0
114,778,0
114,885,0
114,426,1
114,743,0
114,348,0
114,441,0
114,144,0
114,156,0
114,550,1
114,162,0
114,197,0
114,202,0
114,204,0
114,205,0
114,537,0
114,256,0
114,288,0
114,294,0
114,296,0
114,303,0
114,325,0
114,355,0
114,387,0
114,425,0
114,286,0
114,509,0
114,688,0
115,738,0
115,935,0
115,916,0
115,860,0
115,847,0
115,845,0
115,771,0
115,697,0
115,666,0
115,659,0
115,657,0
115,593,0
115,592,0
115,561,0
115,552,0
115,950,0
115,480,0
115,472,0
115,462,0
115,431,0
115,412,0
115,410,0
115,378,0
115,341,0
115,336,0
115,330,0
115,270,0
115,251,0
115,232,0
115,207,0
115,345,1
115,477,0
115,844,0
115,239,1
116,241,0
116,270,0
116,645,1
116,926,0
116,883,0
116,882,0
116,873,0
116,783,0
116,735,0
116,731,0
116,640,0
116,631,0
116,611,0
116,532,0
116,525,0
116,507,0
116,670,0
116,444,0
116,240,0
116,213,0
116,211,0
116,195,0
116,169,0
116,316,0
116,151,0
116,350,0
116,403,0
116,412,0
116,420,0
116,439,0
116,333,0
117,928,0
117,770,0
117,818,0
117,823,0
117,883,0
117,941,0
117,530,0
117,831,0
117,899,0
117,588,0
117,544,0
117,708,0
117,949,0
117,704,0
117,240,0
117,659,0
117,120,0
117,233,0
117,372,0
117,664,0
117,473,0
117,477,0
117,416,0
117,528,0
117,561,0
117,569,0
117,621,0
117,658,0
117,511,0
117,536,0
118,908,1
118,160,1
118,888,1
118,376,1
118,429,1
118,152,0
118,594,0
118,744,0
118,924,0
118,691,0
119,937,0
119,909,0
119,876,0
119,813,0
119,805,0
119,788,0
119,777,0
119,770,0
119,742,0
119,701,0
119,697,0
119,914,0
119,707,0
119,949,0
119,686,0
119,960,0
119,784,0
119,946,0
119,736,0
119,224,0
119,137,0
119,743,1
119,140,0
119,161,0
119,164,0
119,148,0
119,122,0
119,826,0
119,664,0
119,189,0
119,630,0
119,272,0
119,640,0
119,313,0
119,315,0
119,259,0
119,252,0
119,231,0
119,229,0
119,192,0
119,324,0
119,325,0
119,332,0
119,333,0
119,374,0
119,381,0
119,301,0
119,395,0
119,574,0
119,392,0
119,584,0
119,627,0
119,550,0
119,545,0
119,572,0
119,440,0
119,439,0
119,434,0
119,421,0
119,410,0
119,441,0
119,593,0
12,605,0
12,540,0
12,555,0
12,589,0
12,733,0
12,639,0
12,731,0
12,535,0
12,748,0
12,749,0
12,621,0
12,505,0
12,377,0
12,473,0
12,465,0
12,378,0
12,375,0
12,370,0
12,341,0
12,260,0
12,120,0
12,111,0
12,45,0
12,750,0
12,35,0
12,22,0
12,484,0
12,39,0
12,939,0
12,865,0
12,871,0
12,872,0
12,887,0
12,894,0
12,803,0
12,907,0
12,548,0
12,767,0
120,589,0
120,543,0
120,540,0
120,484,0
120,473,0
120,227,0
120,735,1
120,259,0
120,621,0
120,222,0
120,172,0
120,372,0
120,767,0
120,865,0
120,823,0
120,800,0
120,749,0
120,941,0
121,227,0
121,237,0
121,251,0
121,295,0
121,457,0
121,589,0
121,758,0
121,710,1
121,873,0
121,955,1
121,206,1
121,215,0
121,463,0
122,961,0
122,574,0
122,532,0
122,592,0
122,593,0
122,616,0
122,623,0
122,627,0
122,654,0
122,906,0
122,657,0
122,705,0
122,731,0
122,770,0
122,790,0
122,805,0
122,843,0
122,880,0
122,671,0
122,421,0
122,423,0
122,378,0
122,148,0
122,149,0
122,161,0
122,184,0
122,185,0
122,204,0
122,207,0
122,230,0
122,400,0
122,240,0
122,259,0
122,270,0
122,275,0
122,290,0
122,314,0
122,317,0
122,248,0
122,844,0
123,244,0
123,873,0
124,435,0
124,772,0
124,679,1
125,318,0
125,498,0
125,697,0
125,796,0
125,880,0
125,289,0
125,291,0
125,158,0
126,793,0
126,656,1
126,744,1
126,939,0
126,874,0
126,729,1
126,575,0
126,469,0
126,462,0
126,254,0
126,180,0
126,179,0
127,315,0
127,380,0
127,313,0
127,294,0
127,387,0
127,266,0
127,238,0
127,920,0
127,147,0
127,773,1
127,143,0
127,425,0
127,781,1
127,449,1
127,228,0
127,441,0
127,574,0
127,827,0
127,927,0
127,826,0
127,949,0
127,943,0
127,551,0
127,804,0
127,794,1
127,768,0
127,752,0
127,740,0
127,398,1
127,466,0
127,795,1
127,683,0
127,596,0
127,712,0
127,518,1
127,598,0
127,605,0
127,693,0
127,616,0
127,688,1
127,653,0
127,617,0
128,435,1
128,922,1
128,204,1
128,667,1
128,519,1
128,173,1
128,155,1
128,703,1
128,418,0
128,464,0
128,489,0
128,547,0
128,554,0
128,565,0
128,606,0
128,688,0
128,706,0
128,730,0
128,881,0
128,859,0
128,933,0
128,926,0
128,916,0
128,882,0
128,867,0
128,731,0
128,843,0
128,830,0
128,829,0
128,812,0
128,802,0
128,771,0
128,889,1
128,756,0
128,455,0
128,735,0
128,740,0
128,332,0
128,378,0
128,367,0
128,333,0
128,262,0
128,408,0
128,396,0
128,248,0
128,215,0
128,199,0
128,133,0
128,737,1
128,163,1
128,245,0
128,403,0
129,573,0
129,551,0
129,588,0
129,826,0
129,266,0
129,859,0
129,299,1
129,684,0
129,560,0
129,932,0
129,224,0
129,938,0
129,936,0
129,928,0
129,830,0
129,802,0
129,799,0
129,779,0
129,772,0
129,771,0
129,949,0
129,760,0
129,731,0
129,730,0
129,723,0
129,716,0
129,934,0
129,741,0
129,708,0
129,697,0
129,696,0
129,738,0
129,268,0
129,653,0
129,502,0
129,600,0
129,591,0
129,583,0
129,306,0
129,532,0
129,526,0
129,522,0
129,504,0
129,500,0
129,499,0
129,446,0
129,441,0
129,262,0
129,440,0
129,429,0
129,311,0
129,313,0
129,296,0
129,277,0
129,317,0
129,319,0
129,325,0
129,418,0
129,378,0
129,386,0
129,394,0
129,434,0
129,602,0
129,398,0
129,620,0
129,205,0
129,193,0
129,608,0
129,177,0
129,174,0
129,166,0
129,165,0
129,164,0
129,156,0
129,223,0
129,683,0
129,644,0
129,257,0
129,658,0
129,303,0
129,148,0
129,687,0
129,686,0
129,238,0
129,662,0
13,126,0
